gate: 5
check: G05-C2
captured_utc: 2026-09-14T10:24:14Z
repo_commit: 9f50972a8ce6cda6fc53bb2439ce8669d1a98282
plan_commit: 4ebc8def34df78a0bc6b29e42656986ef987f4c9
plan_sha256: 42eaac5e61d177430ce8e331767d2137b3f9b2bd197e13945b84f7c5e8cd79c7
target_identity: kube-system namespace UID d7d8a462-c503-49ed-a1e0-899f372f9465; API server https://10.2.0.100:6443 (private VIP); hosts veridex-server-1/2/3 (control-plane,etcd)
captured_by: agent
command: ssh root@veridex-agent-2 -- backgrounded shell loop: every ~0.3s, TCP-connect probe of 10.2.0.100:6443 via /dev/tcp, timestamped OK/FAIL, for 10 minutes bracketing the drill
exit_status: 0
proof_class: live
result: PASS
limitations: TCP-connect only (not a full authenticated API call) -- sufficient to measure VIP reachability/interruption timing, run from a worker node (a realistic client position, and unaffected by the etcd voter that goes down). 1639 samples captured; full log is the same file cited by C4.
--- unedited output ---
2026-09-14T10:16:20.398Z OK
2026-09-14T10:16:20.705Z OK
2026-09-14T10:16:21.014Z OK
2026-09-14T10:16:21.323Z OK
2026-09-14T10:16:21.633Z OK
2026-09-14T10:16:21.943Z OK
2026-09-14T10:16:22.252Z OK
2026-09-14T10:16:22.562Z OK
2026-09-14T10:16:22.871Z OK
2026-09-14T10:16:23.180Z OK
2026-09-14T10:16:23.489Z OK
2026-09-14T10:16:23.798Z OK
2026-09-14T10:16:24.106Z OK
2026-09-14T10:16:24.413Z OK
2026-09-14T10:16:24.721Z OK
2026-09-14T10:16:25.030Z OK
2026-09-14T10:16:25.337Z OK
2026-09-14T10:16:25.646Z OK
2026-09-14T10:16:25.955Z OK
2026-09-14T10:16:26.263Z OK
2026-09-14T10:16:26.571Z OK
2026-09-14T10:16:26.880Z OK
2026-09-14T10:16:27.190Z OK
2026-09-14T10:16:27.498Z OK
2026-09-14T10:16:27.807Z OK
2026-09-14T10:16:28.116Z OK
2026-09-14T10:16:28.424Z OK
2026-09-14T10:16:28.730Z OK
2026-09-14T10:16:29.039Z OK
2026-09-14T10:16:29.347Z OK
2026-09-14T10:16:29.655Z OK
2026-09-14T10:16:29.964Z OK
2026-09-14T10:16:30.271Z OK
2026-09-14T10:16:30.580Z OK
2026-09-14T10:16:30.889Z OK
2026-09-14T10:16:31.198Z OK
2026-09-14T10:16:31.507Z OK
2026-09-14T10:16:31.815Z OK
2026-09-14T10:16:32.126Z OK
2026-09-14T10:16:32.435Z OK
2026-09-14T10:16:32.743Z OK
2026-09-14T10:16:33.050Z OK
2026-09-14T10:16:33.358Z OK
2026-09-14T10:16:33.665Z OK
2026-09-14T10:16:33.973Z OK
2026-09-14T10:16:34.281Z OK
2026-09-14T10:16:34.589Z OK
2026-09-14T10:16:34.897Z OK
2026-09-14T10:16:35.205Z OK
2026-09-14T10:16:35.513Z OK
2026-09-14T10:16:35.821Z OK
2026-09-14T10:16:36.129Z OK
2026-09-14T10:16:36.437Z OK
2026-09-14T10:16:36.744Z OK
2026-09-14T10:16:37.051Z OK
2026-09-14T10:16:37.358Z OK
2026-09-14T10:16:37.666Z OK
2026-09-14T10:16:37.973Z OK
2026-09-14T10:16:38.280Z OK
2026-09-14T10:16:38.587Z OK
2026-09-14T10:16:38.894Z OK
2026-09-14T10:16:39.202Z OK
2026-09-14T10:16:39.508Z OK
2026-09-14T10:16:39.816Z OK
2026-09-14T10:16:40.123Z OK
2026-09-14T10:16:40.432Z OK
2026-09-14T10:16:40.741Z OK
2026-09-14T10:16:41.048Z OK
2026-09-14T10:16:41.355Z OK
2026-09-14T10:16:41.663Z OK
2026-09-14T10:16:41.969Z OK
2026-09-14T10:16:42.277Z OK
2026-09-14T10:16:42.586Z OK
2026-09-14T10:16:42.893Z OK
2026-09-14T10:16:43.202Z OK
2026-09-14T10:16:43.511Z OK
2026-09-14T10:16:43.819Z OK
2026-09-14T10:16:44.129Z OK
2026-09-14T10:16:44.439Z OK
2026-09-14T10:16:44.748Z OK
2026-09-14T10:16:45.056Z OK
2026-09-14T10:16:45.364Z OK
2026-09-14T10:16:45.673Z OK
2026-09-14T10:16:45.981Z OK
2026-09-14T10:16:46.291Z OK
2026-09-14T10:16:46.600Z OK
2026-09-14T10:16:46.907Z OK
2026-09-14T10:16:47.217Z OK
2026-09-14T10:16:47.526Z OK
2026-09-14T10:16:47.834Z OK
2026-09-14T10:16:48.144Z OK
2026-09-14T10:16:48.453Z OK
2026-09-14T10:16:48.762Z OK
2026-09-14T10:16:49.071Z OK
2026-09-14T10:16:49.381Z OK
2026-09-14T10:16:49.689Z OK
2026-09-14T10:16:49.998Z OK
2026-09-14T10:16:50.308Z OK
2026-09-14T10:16:50.617Z OK
2026-09-14T10:16:50.926Z OK
2026-09-14T10:16:51.233Z OK
2026-09-14T10:16:51.542Z OK
2026-09-14T10:16:51.851Z OK
2026-09-14T10:16:52.159Z OK
2026-09-14T10:16:52.467Z OK
2026-09-14T10:16:52.776Z OK
2026-09-14T10:16:53.085Z OK
2026-09-14T10:16:53.395Z OK
2026-09-14T10:16:53.703Z OK
2026-09-14T10:16:54.011Z OK
2026-09-14T10:16:54.319Z OK
2026-09-14T10:16:54.627Z OK
2026-09-14T10:16:54.934Z OK
2026-09-14T10:16:55.243Z OK
2026-09-14T10:16:55.550Z OK
2026-09-14T10:16:55.858Z OK
2026-09-14T10:16:56.166Z OK
2026-09-14T10:16:56.474Z OK
2026-09-14T10:16:56.783Z OK
2026-09-14T10:16:57.091Z OK
2026-09-14T10:16:57.398Z OK
2026-09-14T10:16:57.706Z OK
2026-09-14T10:16:58.014Z OK
2026-09-14T10:16:58.322Z OK
2026-09-14T10:16:58.630Z OK
2026-09-14T10:16:58.938Z OK
2026-09-14T10:16:59.246Z OK
2026-09-14T10:16:59.554Z OK
2026-09-14T10:16:59.863Z OK
2026-09-14T10:17:00.171Z OK
2026-09-14T10:17:00.480Z OK
2026-09-14T10:17:00.790Z OK
2026-09-14T10:17:01.098Z OK
2026-09-14T10:17:01.407Z OK
2026-09-14T10:17:01.716Z OK
2026-09-14T10:17:02.025Z OK
2026-09-14T10:17:02.335Z OK
2026-09-14T10:17:02.644Z OK
2026-09-14T10:17:02.953Z OK
2026-09-14T10:17:03.262Z OK
2026-09-14T10:17:03.569Z OK
2026-09-14T10:17:03.877Z OK
2026-09-14T10:17:04.184Z OK
2026-09-14T10:17:04.493Z OK
2026-09-14T10:17:04.802Z OK
2026-09-14T10:17:05.111Z OK
2026-09-14T10:17:05.421Z OK
2026-09-14T10:17:05.732Z OK
2026-09-14T10:17:06.040Z OK
2026-09-14T10:17:06.348Z OK
2026-09-14T10:17:06.657Z OK
2026-09-14T10:17:06.967Z OK
2026-09-14T10:17:07.277Z OK
2026-09-14T10:17:07.587Z OK
2026-09-14T10:17:07.897Z OK
2026-09-14T10:17:08.207Z OK
2026-09-14T10:17:08.515Z OK
2026-09-14T10:17:08.824Z OK
2026-09-14T10:17:09.133Z OK
2026-09-14T10:17:09.441Z OK
2026-09-14T10:17:09.750Z OK
2026-09-14T10:17:10.057Z OK
2026-09-14T10:17:10.365Z OK
2026-09-14T10:17:10.673Z OK
2026-09-14T10:17:10.982Z OK
2026-09-14T10:17:11.292Z OK
2026-09-14T10:17:11.601Z OK
2026-09-14T10:17:11.909Z OK
2026-09-14T10:17:12.217Z OK
2026-09-14T10:17:12.527Z OK
2026-09-14T10:17:12.836Z OK
2026-09-14T10:17:13.145Z OK
2026-09-14T10:17:13.452Z OK
2026-09-14T10:17:13.759Z OK
2026-09-14T10:17:14.067Z OK
2026-09-14T10:17:14.375Z OK
2026-09-14T10:17:14.682Z OK
2026-09-14T10:17:14.991Z OK
2026-09-14T10:17:15.299Z OK
2026-09-14T10:17:15.609Z OK
2026-09-14T10:17:15.917Z OK
2026-09-14T10:17:16.226Z OK
2026-09-14T10:17:16.536Z OK
2026-09-14T10:17:16.844Z OK
2026-09-14T10:17:17.151Z OK
2026-09-14T10:17:17.460Z OK
2026-09-14T10:17:17.767Z OK
2026-09-14T10:17:18.074Z OK
2026-09-14T10:17:18.381Z OK
2026-09-14T10:17:18.688Z OK
2026-09-14T10:17:18.995Z OK
2026-09-14T10:17:19.303Z OK
2026-09-14T10:17:19.610Z OK
2026-09-14T10:17:19.919Z OK
2026-09-14T10:17:20.227Z OK
2026-09-14T10:17:20.534Z OK
2026-09-14T10:17:20.841Z OK
2026-09-14T10:17:21.149Z OK
2026-09-14T10:17:21.458Z OK
2026-09-14T10:17:21.766Z OK
2026-09-14T10:17:22.073Z OK
2026-09-14T10:17:22.381Z OK
2026-09-14T10:17:22.689Z OK
2026-09-14T10:17:22.996Z OK
2026-09-14T10:17:23.305Z OK
2026-09-14T10:17:23.611Z OK
2026-09-14T10:17:23.918Z OK
2026-09-14T10:17:24.227Z OK
2026-09-14T10:17:24.535Z OK
2026-09-14T10:17:24.843Z OK
2026-09-14T10:17:25.150Z OK
2026-09-14T10:17:25.460Z OK
2026-09-14T10:17:25.769Z OK
2026-09-14T10:17:26.077Z OK
2026-09-14T10:17:26.386Z OK
2026-09-14T10:17:26.693Z OK
2026-09-14T10:17:27.001Z OK
2026-09-14T10:17:27.310Z OK
2026-09-14T10:17:27.619Z OK
2026-09-14T10:17:27.929Z OK
2026-09-14T10:17:28.239Z OK
2026-09-14T10:17:28.549Z OK
2026-09-14T10:17:28.859Z OK
2026-09-14T10:17:29.167Z OK
2026-09-14T10:17:29.476Z OK
2026-09-14T10:17:29.784Z OK
2026-09-14T10:17:30.092Z OK
2026-09-14T10:17:30.400Z OK
2026-09-14T10:17:30.709Z OK
2026-09-14T10:17:31.018Z OK
2026-09-14T10:17:31.327Z OK
2026-09-14T10:17:31.634Z OK
2026-09-14T10:17:31.941Z OK
2026-09-14T10:17:32.250Z OK
2026-09-14T10:17:32.558Z OK
2026-09-14T10:17:32.864Z OK
2026-09-14T10:17:33.171Z OK
2026-09-14T10:17:33.479Z OK
2026-09-14T10:17:33.788Z OK
2026-09-14T10:17:34.096Z OK
2026-09-14T10:17:34.403Z OK
2026-09-14T10:17:34.710Z OK
2026-09-14T10:17:35.019Z OK
2026-09-14T10:17:35.327Z OK
2026-09-14T10:17:35.636Z OK
2026-09-14T10:17:35.944Z OK
2026-09-14T10:17:36.252Z OK
2026-09-14T10:17:36.561Z OK
2026-09-14T10:17:36.869Z OK
2026-09-14T10:17:37.178Z OK
2026-09-14T10:17:37.488Z OK
2026-09-14T10:17:37.797Z OK
2026-09-14T10:17:38.105Z OK
2026-09-14T10:17:38.413Z OK
2026-09-14T10:17:38.721Z OK
2026-09-14T10:17:39.030Z OK
2026-09-14T10:17:39.339Z OK
2026-09-14T10:17:39.647Z OK
2026-09-14T10:17:39.957Z OK
2026-09-14T10:17:40.267Z OK
2026-09-14T10:17:40.576Z OK
2026-09-14T10:17:40.886Z OK
2026-09-14T10:17:41.193Z OK
2026-09-14T10:17:41.501Z OK
2026-09-14T10:17:41.810Z OK
2026-09-14T10:17:42.120Z OK
2026-09-14T10:17:42.430Z OK
2026-09-14T10:17:42.739Z OK
2026-09-14T10:17:43.046Z OK
2026-09-14T10:17:43.356Z OK
2026-09-14T10:17:43.664Z OK
2026-09-14T10:17:43.971Z OK
2026-09-14T10:17:44.280Z OK
2026-09-14T10:17:44.589Z OK
2026-09-14T10:17:44.897Z OK
2026-09-14T10:17:45.205Z OK
2026-09-14T10:17:45.515Z OK
2026-09-14T10:17:45.824Z OK
2026-09-14T10:17:46.134Z OK
2026-09-14T10:17:46.442Z OK
2026-09-14T10:17:46.752Z OK
2026-09-14T10:17:47.061Z OK
2026-09-14T10:17:47.370Z OK
2026-09-14T10:17:47.678Z OK
2026-09-14T10:17:47.988Z OK
2026-09-14T10:17:48.297Z OK
2026-09-14T10:17:48.604Z OK
2026-09-14T10:17:48.913Z OK
2026-09-14T10:17:49.222Z OK
2026-09-14T10:17:49.532Z OK
2026-09-14T10:17:49.839Z OK
2026-09-14T10:17:50.148Z OK
2026-09-14T10:17:50.458Z OK
2026-09-14T10:17:50.765Z OK
2026-09-14T10:17:51.072Z OK
2026-09-14T10:17:51.379Z OK
2026-09-14T10:17:51.686Z OK
2026-09-14T10:17:51.992Z OK
2026-09-14T10:17:52.299Z OK
2026-09-14T10:17:52.607Z OK
2026-09-14T10:17:52.914Z OK
2026-09-14T10:17:53.222Z OK
2026-09-14T10:17:53.529Z OK
2026-09-14T10:17:53.838Z OK
2026-09-14T10:17:54.146Z OK
2026-09-14T10:17:54.454Z OK
2026-09-14T10:17:54.761Z OK
2026-09-14T10:17:55.069Z OK
2026-09-14T10:17:55.379Z OK
2026-09-14T10:17:55.687Z OK
2026-09-14T10:17:55.996Z OK
2026-09-14T10:17:56.305Z OK
2026-09-14T10:17:56.613Z OK
2026-09-14T10:17:56.923Z OK
2026-09-14T10:17:57.230Z OK
2026-09-14T10:17:57.539Z OK
2026-09-14T10:17:57.848Z OK
2026-09-14T10:17:58.155Z OK
2026-09-14T10:17:58.463Z OK
2026-09-14T10:17:58.770Z OK
2026-09-14T10:17:59.077Z OK
2026-09-14T10:17:59.384Z OK
2026-09-14T10:17:59.691Z OK
2026-09-14T10:17:59.998Z OK
2026-09-14T10:18:00.306Z OK
2026-09-14T10:18:00.613Z OK
2026-09-14T10:18:00.921Z OK
2026-09-14T10:18:01.230Z OK
2026-09-14T10:18:01.541Z OK
2026-09-14T10:18:01.849Z OK
2026-09-14T10:18:02.159Z OK
2026-09-14T10:18:02.468Z OK
2026-09-14T10:18:02.777Z OK
2026-09-14T10:18:03.086Z OK
2026-09-14T10:18:03.394Z OK
2026-09-14T10:18:03.703Z OK
2026-09-14T10:18:04.013Z OK
2026-09-14T10:18:04.322Z OK
2026-09-14T10:18:04.629Z OK
2026-09-14T10:18:04.939Z OK
2026-09-14T10:18:05.247Z OK
2026-09-14T10:18:05.556Z OK
2026-09-14T10:18:05.863Z OK
2026-09-14T10:18:06.171Z OK
2026-09-14T10:18:06.478Z OK
2026-09-14T10:18:06.785Z OK
2026-09-14T10:18:07.093Z OK
2026-09-14T10:18:07.400Z OK
2026-09-14T10:18:07.707Z OK
2026-09-14T10:18:08.015Z OK
2026-09-14T10:18:08.324Z OK
2026-09-14T10:18:08.632Z OK
2026-09-14T10:18:08.941Z OK
2026-09-14T10:18:09.248Z OK
2026-09-14T10:18:09.554Z OK
2026-09-14T10:18:09.862Z OK
2026-09-14T10:18:10.169Z OK
2026-09-14T10:18:10.476Z OK
2026-09-14T10:18:10.783Z OK
2026-09-14T10:18:11.090Z OK
2026-09-14T10:18:11.398Z OK
